id	E.C	cul_1	cul_2	mean	mean_err	rel_sd%
HK	2.7.1.1	192.09	205.44	198.77	9.44	4.75
PGI	5.3.1.9	4349.6	5064.19	4706.89	505.29	10.74
PFK	2.7.1.11	48.99	61.34	55.17	8.73	15.83
FBPA	4.1.2.13	519.28	550.94	535.11	22.39	4.18
TPI	5.3.1.1	1833.3	6430.09	4131.69	3250.42	78.67
GAPDH	1.2.1.12	1004.32	1283.01	1143.66	197.06	17.23
PK	2.7.1.40	7736.66	8649.77	8193.21	645.67	7.88
LDH	1.1.1.27	6337.41	7607.62	6972.52	898.17	12.88
G6PDH	1.1.1.49	306.25	337.13	321.69	21.84	6.79
6PGDH	1.1.1.44	679.38	842.26	760.82	115.17	15.14
TA	2.2.1.2	453.49	568.38	510.94	81.24	15.9
TK	2.2.1.1	324.62	331.93	328.27	5.17	1.57
PDH	1.2.4.1	3.91	1.24	2.57	1.89	73.49
PC	6.4.1.1	6.12	6.2	6.16	0.06	0.94
CS	2.3.3.1	223.59	152.76	188.18	50.09	26.62
CL	2.3.3.8	69.38	59.73	64.56	6.82	10.57
NAD-ICDH	1.1.1.41	19.22	13.49	16.36	4.05	24.77
NADP-ICDH	1.1.1.42	124.25	125.82	125.03	1.11	0.89
FUM	4.2.1.2	2827.78	3146.15	2986.96	225.13	7.54
MDH	1.1.1.37	17017.71	18112.06	17564.89	773.83	4.41
GLNase	3.5.1.2	2.09	0.45	1.27	1.16	91.41
GS	6.3.1.2	380.82	490.72	435.77	77.71	17.83
GLDH	1.4.1.2	56.89	65.42	61.15	6.03	9.86
AlaTA	2.6.1.2	49.03	45.61	47.32	2.42	5.1
AspTA	2.6.1.1	2339.24	1734.97	2037.11	427.29	20.98
PEPCK	4.1.1.32	622.45	813.74	718.09	135.26	18.84
ME	1.1.1.40	125.72	139.45	132.58	9.71	7.32
